id;supplier_id;name;price;promo_price;image
010358-6;180 - AEROFLEX;Tinta Temporária P-Cabelo Amarela Neon Aeroflex 150ml;14,99;;produtos/010358-6.JPG
010359-4;180 - AEROFLEX;Tinta Temporária P-Cabelo Azul Neon Aeroflex 150ml;14,99;;produtos/010359-4.JPG
010360-8;180 - AEROFLEX;Tinta Temporária P-Cabelo Verde Neon Aeroflex 150ml;14,99;;produtos/010360-8.JPG
010361-6;180 - AEROFLEX;Tinta Temporária P-Cabelo Violeta Neon Aeroflex 150ml;14,99;;produtos/010361-6.JPG
010362-4;180 - AEROFLEX;Tinta Temporária P-Cabelo Vermelha Neon Aeroflex 150ml;14,99;;produtos/010362-4.JPG
010363-2;180 - AEROFLEX;Gelo Spray Alivi Ice Aeroflex 280ml;25,49;;produtos/010363-2.JPG
010366-7;180 - AEROFLEX;Fixador Ae Forte Mood Aeroflex 400ml;23,9;;produtos/010366-7.JPG
010368-3;180 - AEROFLEX;Água Termal Mood Aeroflex 150ml;21,49;;produtos/010368-3.JPG
011022-1;180 - AEROFLEX;Tinta Temporária P-Cabelo Rosa Aeroflex 150ml AE2600032;14,99;;produtos/011022-1.JPG
011518-5;180 - AEROFLEX;Tinta Temporária P-Cabelo Laranja Aeroflex 150ml AE2600033;14,99;;produtos/011518-5.JPG
013897-5;180 - AEROFLEX;Repelente de Insetos Aerossol Repellere 150ml;15,49;;produtos/013897-5.JPG
013956-4;180 - AEROFLEX;Espuma de Festa Flocos de Neve 400ml;13,99;;produtos/013956-4.JPG
014230-1;180 - AEROFLEX;Espuma De Banho Cupuacu-Vanilla Mood 200ML;16,49;;produtos/014230-1.JPG
014231-0;180 - AEROFLEX;Fixador Ae Extra Forte Mood 400ml;27,79;;produtos/014231-0.JPG
014232-8;180 - AEROFLEX;Fixador Ae Forte Mood 200ml;17,99;;produtos/014232-8.JPG
014233-6;180 - AEROFLEX;Fixador Ae Normal Mood 200ml;16,9;;produtos/014233-6.JPG
014234-4;180 - AEROFLEX;Fixador Ae Normal Mood 400ml;21,99;;produtos/014234-4.JPG
014235-2;180 - AEROFLEX;Fixador De Maquiagem Ae Mood 300ml;19,29;;produtos/014235-2.JPG
014237-9;180 - AEROFLEX;Mousse Hidratante Ae Mood Cup E Vanilla 200ml;24,1;;produtos/014237-9.JPG
014238-7;180 - AEROFLEX;Mousse Hidratante Ae Mood Lolita 200ml;23,9;;produtos/014238-7.JPG
014239-5;180 - AEROFLEX;Secante De Esmalte Ae Mood 400ml;19,29;;produtos/014239-5.JPG
010271-7;179 - ALFAPARF;Tinta Alta Moda 1 Preto 150g Alfaparf PF015385;11,99;;produtos/010271-7.JPG
010272-5;179 - ALFAPARF;Tinta Alta Moda 1.11 Preto Azulado 150g Alfaparf PF015386;11,99;;produtos/010272-5.JPG
010274-1;179 - ALFAPARF;Tinta Alta Moda 10.1 Louro Extra Claro Cinza 150g Alfaparf PF015406;11,99;;produtos/010274-1.JPG
010275-0;179 - ALFAPARF;Tinta Alta Moda 12.00 Louro Platina 150g Alfaparf PF020938;12,99;;produtos/010275-0.JPG
010276-8;179 - ALFAPARF;Tinta Alta Moda 12.11 Louro Cinza Platina 150g Alfaparf PF020937;12,99;;produtos/010276-8.JPG
010277-6;179 - ALFAPARF;Tinta Alta Moda 12.111 Matizador-Corretor 120g Alfaparf PF015166;12,99;;produtos/010277-6.JPG
010278-4;179 - ALFAPARF;Tinta Alta Moda 3 Castanho Escuro 150g Alfaparf PF015387;11,99;;produtos/010278-4.JPG
010280-6;179 - ALFAPARF;Tinta Alta Moda 4 Castanho 150g Alfaparf PF015388;11,99;;produtos/010280-6.JPG
010281-4;179 - ALFAPARF;Tinta Alta Moda 4.66 Castanho Verm. Intenso 150g Alfaparf PF015389;12,99;;produtos/010281-4.JPG
010283-0;179 - ALFAPARF;Tinta Alta Moda 5 Castanho Claro 150g Alfaparf PF015390;11,99;;produtos/010283-0.JPG
010284-9;179 - ALFAPARF;Tinta Alta Moda 5.3 Castanho Claro Dourado 150g Alfaparf PF015391;11,99;;produtos/010284-9.JPG
010285-7;179 - ALFAPARF;Tinta Alta Moda 6 Louro Escuro 150g Alfaparf PF015392;11,99;;produtos/010285-7.JPG
010287-3;179 - ALFAPARF;Tinta Alta Moda 5.7 Castanho Luminoso Medio 150g Alfaparf PF015628;11,99;;produtos/010287-3.JPG
010288-1;179 - ALFAPARF;Tinta Alta Moda 6.1 Louro Escuro Cinza 150g Alfaparf PF015393;11,99;;produtos/010288-1.JPG
010290-3;179 - ALFAPARF;Tinta Alta Moda 6.35 Louro Escuro Dourado Acaju 150g Alfaparf PF015395;11,99;;produtos/010290-3.JPG
010292-0;179 - ALFAPARF;Tinta Alta Moda 6.66 Louro Escuro Vermelho Intenso 150g Alfaparf PF015396;12,99;;produtos/010292-0.JPG
010293-8;179 - ALFAPARF;Tinta Alta Moda 6.7 Castanho Luminoso Claro 150g Alfaparf PF015629;11,99;;produtos/010293-8.JPG
010294-6;179 - ALFAPARF;Tinta Alta Moda 7 Louro 150g Alfaparf PF015397;11,99;;produtos/010294-6.JPG
010295-4;179 - ALFAPARF;Tinta Alta Moda 7.1 Louro Cinza 150g Alfaparf PF015398;11,99;;produtos/010295-4.JPG
010297-0;179 - ALFAPARF;Tinta Alta Moda 7.3 Louro Dourado 150g Alfaparf PF015399;11,99;;produtos/010297-0.JPG
